record_id,date,time,hour_of_day,day_of_week,month,city,state,road_type,road_surface_condition,road_width_meters,number_of_lanes,speed_limit_kmh,average_speed_kmh,weather_condition,temperature_celsius,humidity_percent,visibility_km,traffic_density,light_condition,signal_present,road_divider_present,vehicle_type_involved,vehicles_involved,pedestrians_nearby,accident_type,risk_score,severity_level,accident_occurred
IND-2022-0014,2022-09-08,08:38,8,Thu,9,Bhopal,Madhya Pradesh,National Highway,Under Construction,4.7,1,120,134,Clear,20.5,33,8.2,0.11,Street Light,0,1,Motorcycle,2,16,Pedestrian Hit,40,Medium,0
IND-2022-0015,2022-12-18,08:44,8,Sun,12,Delhi,Delhi,Urban Road,Dry,13.8,2,120,76,Clear,11.5,62,8.3,0.67,Street Light,1,1,Bicycle,2,40,Rear-End Collision,5,Low,0
IND-2023-0016,2023-07-13,08:55,8,Thu,7,Coimbatore,Tamil Nadu,Urban Road,Wet,10.5,3,50,65,Clear,41.5,46,8.6,0.82,Dawn/Dusk,1,0,Car,6,15,Rollover,70,High,1
IND-2022-0017,2022-07-01,10:14,10,Fri,7,Delhi,Delhi,National Highway,Potholed,12.5,2,120,136,Heavy Rain,15.6,33,2.6,0.76,Daylight,0,1,Mixed,4,2,Hit and Run,83,Critical,1
IND-2023-0018,2023-11-07,14:22,14,Tue,11,Delhi,Delhi,State Highway,Under Construction,5.4,3,100,100,Clear,21.6,23,8.5,0.71,Partial Light,0,0,Truck,1,16,Multiple Vehicle,40,Medium,1
IND-2022-0019,2022-11-18,12:19,12,Fri,11,Surat,Gujarat,Flyover,Dry,4.2,6,30,35,Rain,28.8,45,9.3,0.1,Partial Light,1,1,Car,3,27,Head-On Collision,40,Medium,0
IND-2022-0020,2022-12-01,09:28,9,Thu,12,Jaipur,Rajasthan,State Highway,Dry,5.7,5,100,119,Rain,24.2,20,5.8,0.26,Dawn/Dusk,1,1,Mixed,3,18,Single Vehicle,45,Medium,0
IND-2023-0021,2023-06-08,16:54,16,Thu,6,Jaipur,Rajasthan,Ring Road,Potholed,5.9,2,80,90,Rain,43.3,50,1.1,0.66,Daylight,0,0,Car,6,19,Rear-End Collision,63,High,1
IND-2023-0022,2023-04-12,07:58,7,Wed,4,Lucknow,Uttar Pradesh,Urban Road,Dry,5.3,6,40,28,Rain,40.1,33,8.9,0.72,Street Light,1,0,Bus,4,14,Rollover,40,Medium,1
IND-2023-0023,2023-04-13,09:49,9,Thu,4,Indore,Madhya Pradesh,Urban Road,Wet,11.3,4,120,157,Clear,27.7,90,7.2,0.65,Street Light,1,1,Truck,4,10,Rollover,50,High,1
IND-2023-0024,2023-10-04,11:13,11,Wed,10,Kolkata,West Bengal,Urban Road,Potholed,7.8,5,80,53,Clear,15.3,47,4,0.24,Daylight,1,1,Truck,1,26,Rear-End Collision,10,Low,0
IND-2023-0025,2023-02-03,13:24,13,Fri,2,Indore,Madhya Pradesh,Urban Road,Potholed,11.2,5,60,58,Heavy Rain,23.6,73,3.1,0.95,No Light,0,1,Auto Rickshaw,5,47,Rollover,80,Critical,1
IND-2023-0026,2023-11-27,18:29,18,Mon,11,Chennai,Tamil Nadu,Rural Road,Under Construction,5.4,3,80,49,Haze,10.9,74,5.7,0.45,Partial Light,1,1,Mixed,2,29,Rollover,45,Medium,1
IND-2023-0027,2023-01-24,08:13,8,Tue,1,Bangalore,Karnataka,Flyover,Dry,5.6,1,100,103,Clear,32.8,25,3.6,1,No Light,0,0,Bus,1,15,Side Collision,55,High,1
IND-2022-0028,2022-09-20,14:06,14,Tue,9,Hyderabad,Telangana,National Highway,Wet,7.7,6,120,87,Haze,42.5,93,5.9,0.38,No Light,0,0,Car,6,24,Rollover,70,High,1
IND-2022-0029,2022-11-05,15:41,15,Sat,11,Jaipur,Rajasthan,Urban Road,Dry,4.6,3,50,51,Drizzle,32.7,21,0.9,0.7,Partial Light,1,0,Auto Rickshaw,4,31,Multiple Vehicle,65,High,1
IND-2023-0030,2023-07-06,04:11,4,Thu,7,Bangalore,Karnataka,Urban Road,Under Construction,10.5,3,40,50,Haze,18.5,79,8.8,0.18,Street Light,0,1,Truck,5,39,Hit and Run,70,High,1
IND-2022-0031,2022-12-30,16:44,16,Fri,12,Kolkata,West Bengal,State Highway,Under Construction,8.5,6,30,30,Haze,24.2,91,2.6,0.27,Street Light,1,1,Truck,2,44,Rear-End Collision,38,Medium,0
IND-2023-0032,2023-11-11,08:47,8,Sat,11,Bangalore,Karnataka,Urban Road,Wet,11.3,6,50,44,Rain,18.1,44,3.2,0.51,Dawn/Dusk,0,0,Motorcycle,3,7,Rollover,55,High,1
IND-2023-0033,2023-08-27,05:28,5,Sun,8,Kolkata,West Bengal,Urban Road,Dry,6.6,2,40,35,Dust Storm,14.4,25,7.1,0.37,Daylight,1,0,Car,1,35,Rear-End Collision,25,Medium,0
IND-2022-0034,2022-02-22,21:58,21,Tue,2,Chennai,Tamil Nadu,Expressway,Dry,4.7,4,80,88,Clear,29.7,58,1.7,0.15,Daylight,0,1,Bus,1,15,Single Vehicle,28,Medium,0
IND-2023-0035,2023-08-26,22:18,22,Sat,8,Hyderabad,Telangana,State Highway,Wet,5.1,4,120,91,Dust Storm,15.5,42,6.7,0.29,Street Light,1,1,Motorcycle,5,4,Pedestrian Hit,65,High,1
IND-2023-0036,2023-04-10,19:29,19,Mon,4,Surat,Gujarat,State Highway,Dry,4.1,3,120,161,Clear,32.7,54,5.5,0.48,No Light,1,1,Motorcycle,2,4,Head-On Collision,40,Medium,0
IND-2023-0037,2023-12-18,10:58,10,Mon,12,Jaipur,Rajasthan,State Highway,Wet,14,6,60,71,Rain,18,93,0.5,0.64,Dawn/Dusk,1,0,Motorcycle,5,1,Side Collision,85,Critical,1
IND-2023-0038,2023-08-23,06:20,6,Wed,8,Bangalore,Karnataka,Expressway,Slippery,12,5,50,56,Rain,34.3,56,3.4,0.87,Dawn/Dusk,0,1,Bus,6,25,Head-On Collision,85,Critical,1
IND-2022-0039,2022-04-29,17:07,17,Fri,4,Bangalore,Karnataka,Urban Road,Wet,11.5,2,80,77,Dust Storm,31.8,83,5.3,0.15,Partial Light,1,0,Motorcycle,6,28,Pedestrian Hit,70,High,1
IND-2023-0040,2023-10-08,12:30,12,Sun,10,Mumbai,Maharashtra,State Highway,Dry,6.6,6,30,23,Fog,43.1,39,1.3,0.86,Street Light,1,1,Motorcycle,4,45,Single Vehicle,53,High,1
IND-2023-0041,2023-07-19,07:35,7,Wed,7,Bangalore,Karnataka,National Highway,Wet,6.5,3,30,24,Clear,42.7,84,4.3,0.81,No Light,1,0,Car,3,0,Single Vehicle,55,High,0
IND-2023-0042,2023-01-22,13:08,13,Sun,1,Lucknow,Uttar Pradesh,State Highway,Dry,11.8,6,40,51,Rain,26.6,68,3.3,0.47,Street Light,0,1,Motorcycle,4,42,Rear-End Collision,45,Medium,0
IND-2023-0043,2023-08-28,03:56,3,Mon,8,Kolkata,West Bengal,National Highway,Under Construction,10,4,30,35,Clear,15.4,80,6.6,0.47,Daylight,0,1,Bicycle,3,21,Multiple Vehicle,45,Medium,1
IND-2023-0044,2023-07-09,20:18,20,Sun,7,Lucknow,Uttar Pradesh,National Highway,Wet,10.8,1,100,67,Clear,34.6,32,7.7,0.98,Partial Light,0,1,Mixed,4,10,Rear-End Collision,55,High,1
IND-2023-0045,2023-03-18,09:18,9,Sat,3,Chennai,Tamil Nadu,Urban Road,Wet,8.3,3,30,32,Clear,27.4,94,6.9,0.44,No Light,1,1,Car,2,14,Rear-End Collision,60,High,1
IND-2022-0046,2022-06-11,17:53,17,Sat,6,Jaipur,Rajasthan,Ring Road,Slippery,7.5,3,100,80,Clear,23.5,81,2.2,0.86,Daylight,1,1,Mixed,1,15,Rear-End Collision,43,Medium,0
IND-2022-0047,2022-10-09,10:19,10,Sun,10,Ahmedabad,Gujarat,Expressway,Potholed,10.2,5,100,99,Clear,38,97,3,0.91,Partial Light,1,0,Bicycle,3,14,Head-On Collision,30,Medium,0
IND-2022-0048,2022-02-04,14:29,14,Fri,2,Kanpur,Uttar Pradesh,Rural Road,Dry,6.2,4,40,30,Rain,22.8,84,8.8,0.81,Daylight,1,1,Motorcycle,3,10,Head-On Collision,25,Medium,0
IND-2022-0049,2022-05-25,14:01,14,Wed,5,Vadodara,Gujarat,State Highway,Potholed,7.4,6,120,149,Haze,10.5,88,7.9,0.43,Street Light,1,1,Truck,1,29,Hit and Run,40,Medium,0
IND-2023-0050,2023-07-29,08:23,8,Sat,7,Ahmedabad,Gujarat,Urban Road,Wet,4.5,5,100,84,Clear,43.1,58,1.6,0.47,Street Light,0,1,Bus,4,7,Single Vehicle,48,Medium,1
IND-2023-0051,2023-12-15,22:22,22,Fri,12,Jaipur,Rajasthan,Urban Road,Potholed,8.2,2,30,38,Heavy Rain,19.8,67,9.4,0.65,Daylight,1,0,Bus,2,28,Hit and Run,60,High,0
IND-2022-0052,2022-10-10,18:21,18,Mon,10,Mumbai,Maharashtra,National Highway,Under Construction,4.2,5,100,111,Clear,21.7,36,0.7,0.97,Dawn/Dusk,0,0,Motorcycle,5,13,Rollover,85,Critical,1
IND-2023-0053,2023-09-03,21:30,21,Sun,9,Kanpur,Uttar Pradesh,Expressway,Dry,3.7,3,40,27,Clear,22.5,50,1.5,0.88,Daylight,0,0,Truck,5,20,Multiple Vehicle,33,Medium,0
IND-2023-0054,2023-01-06,20:04,20,Fri,1,Hyderabad,Telangana,National Highway,Wet,12.4,4,120,159,Rain,32.5,23,3.2,0.69,Partial Light,0,1,Car,1,30,Single Vehicle,65,High,1
IND-2022-0055,2022-11-26,15:52,15,Sat,11,Coimbatore,Tamil Nadu,National Highway,Dry,10.9,6,50,45,Fog,27.7,75,3.1,0.64,Street Light,0,1,Motorcycle,1,50,Single Vehicle,30,Medium,0
IND-2023-0056,2023-03-02,21:26,21,Thu,3,Hyderabad,Telangana,State Highway,Dry,7.4,2,100,133,Haze,13.3,32,8.4,0.16,Daylight,0,1,Mixed,6,47,Head-On Collision,45,Medium,0
IND-2023-0057,2023-11-13,06:49,6,Mon,11,Chennai,Tamil Nadu,Urban Road,Flooded,12.4,3,50,44,Heavy Rain,33,48,2.3,0.62,Daylight,0,1,Truck,1,22,Rollover,58,High,1
IND-2023-0058,2023-09-21,08:05,8,Thu,9,Nagpur,Maharashtra,Urban Road,Wet,9.4,4,30,22,Fog,21.9,20,3.2,0.73,Street Light,0,0,Motorcycle,2,9,Rear-End Collision,65,High,0
IND-2022-0059,2022-08-09,04:32,4,Tue,8,Lucknow,Uttar Pradesh,Urban Road,Dry,6.4,6,80,86,Clear,36.4,26,1.7,0.9,Daylight,1,1,Truck,6,5,Single Vehicle,53,High,0
IND-2023-0060,2023-03-17,10:47,10,Fri,3,Mumbai,Maharashtra,Rural Road,Wet,6.2,3,40,36,Clear,20.5,47,0.3,0.64,Street Light,0,0,Truck,2,48,Single Vehicle,40,Medium,0
IND-2022-0061,2022-05-13,11:10,11,Fri,5,Hyderabad,Telangana,Rural Road,Wet,8,4,30,27,Clear,26.1,29,4.5,0.77,No Light,1,1,Auto Rickshaw,3,36,Head-On Collision,50,High,0
IND-2023-0062,2023-09-25,09:22,9,Mon,9,Nagpur,Maharashtra,Rural Road,Dry,11.7,1,60,64,Rain,20.9,63,4.1,0.57,Dawn/Dusk,0,0,Car,2,21,Hit and Run,50,High,1
IND-2023-0063,2023-10-23,19:40,19,Mon,10,Surat,Gujarat,State Highway,Dry,9.6,6,120,144,Drizzle,32,79,9.5,0.17,Daylight,1,1,Motorcycle,5,48,Side Collision,45,Medium,0
IND-2022-0064,2022-10-09,11:20,11,Sun,10,Bangalore,Karnataka,Urban Road,Dry,7.5,5,50,63,Rain,39.9,98,8.7,0.17,Dawn/Dusk,0,1,Car,5,32,Rollover,55,High,1
IND-2023-0065,2023-05-29,09:38,9,Mon,5,Pune,Maharashtra,National Highway,Dry,9.9,3,100,66,Clear,34.8,76,0.6,0.68,Partial Light,1,1,Truck,5,33,Multiple Vehicle,40,Medium,0
IND-2023-0066,2023-10-09,14:38,14,Mon,10,Mumbai,Maharashtra,National Highway,Dry,5,3,100,128,Fog,15.3,30,6.1,0.97,Street Light,1,1,Truck,5,42,Side Collision,60,High,1
IND-2022-0067,2022-03-28,07:14,7,Mon,3,Surat,Gujarat,Urban Road,Potholed,3.7,3,120,162,Clear,13.3,74,9.1,1,No Light,0,0,Motorcycle,5,23,Hit and Run,75,Critical,1
IND-2022-0068,2022-06-08,19:26,19,Wed,6,Thiruvananthapuram,Kerala,Expressway,Dry,5.4,6,80,50,Clear,14.6,68,7.7,0.4,No Light,0,1,Auto Rickshaw,2,10,Rear-End Collision,30,Medium,0
IND-2022-0069,2022-09-01,06:51,6,Thu,9,Chennai,Tamil Nadu,Urban Road,Potholed,13.8,4,40,33,Dust Storm,39.2,67,4.8,0.83,No Light,1,1,Car,6,36,Multiple Vehicle,75,Critical,1
IND-2022-0070,2022-09-14,23:26,23,Wed,9,Pune,Maharashtra,Urban Road,Dry,4.5,2,80,102,Clear,19.5,85,7.7,0.36,Partial Light,1,1,Motorcycle,2,27,Rear-End Collision,35,Medium,0
IND-2023-0071,2023-05-30,18:13,18,Tue,5,Mumbai,Maharashtra,Urban Road,Dry,12.2,6,30,38,Clear,14.8,56,8,0.68,Daylight,1,1,Truck,4,44,Rear-End Collision,30,Medium,0
IND-2023-0072,2023-07-16,08:27,8,Sun,7,Indore,Madhya Pradesh,Urban Road,Dry,9.1,6,30,19,Heavy Rain,26,34,8,0.48,No Light,0,0,Car,4,38,Pedestrian Hit,65,High,1
IND-2022-0073,2022-12-28,00:15,0,Wed,12,Mumbai,Maharashtra,Urban Road,Potholed,4,4,30,40,Clear,27.8,22,7.9,0.59,Daylight,1,1,Mixed,4,30,Rear-End Collision,45,Medium,0
IND-2023-0074,2023-10-06,19:12,19,Fri,10,Surat,Gujarat,Urban Road,Potholed,12,1,50,62,Clear,26.3,81,7.8,0.26,Daylight,1,0,Truck,6,11,Pedestrian Hit,40,Medium,0
IND-2022-0075,2022-07-24,17:11,17,Sun,7,Mumbai,Maharashtra,State Highway,Dry,6.4,3,60,48,Heavy Rain,22.5,26,2.1,0.78,Daylight,1,1,Auto Rickshaw,6,21,Single Vehicle,58,High,1
IND-2023-0076,2023-05-25,17:22,17,Thu,5,Kolkata,West Bengal,Rural Road,Dry,6.6,4,60,64,Clear,21.2,30,5.5,0.84,Daylight,1,0,Bus,3,42,Single Vehicle,30,Medium,0
IND-2022-0077,2022-12-28,18:23,18,Wed,12,Hyderabad,Telangana,Urban Road,Wet,10.6,4,100,111,Fog,33.8,23,8.1,0.43,No Light,0,0,Car,2,38,Head-On Collision,90,Critical,1
IND-2023-0078,2023-08-04,06:49,6,Fri,8,Chennai,Tamil Nadu,National Highway,Dry,11.2,4,30,31,Clear,32.7,51,4.1,0.58,Daylight,1,0,Bus,1,1,Pedestrian Hit,15,Low,0
IND-2023-0079,2023-04-02,11:59,11,Sun,4,Bangalore,Karnataka,Urban Road,Potholed,10.5,6,40,51,Clear,25.6,31,9,0.51,Partial Light,0,1,Car,6,20,Pedestrian Hit,50,High,1
IND-2022-0080,2022-06-28,07:33,7,Tue,6,Jaipur,Rajasthan,Urban Road,Dry,12.8,1,120,119,Haze,26.4,90,5.8,0.42,Daylight,1,1,Car,2,39,Single Vehicle,20,Low,0
IND-2023-0081,2023-02-24,20:59,20,Fri,2,Hyderabad,Telangana,National Highway,Slippery,13.6,4,100,101,Drizzle,29.3,95,8.3,0.22,Street Light,0,0,Bus,2,49,Side Collision,55,High,1
IND-2022-0082,2022-12-21,16:05,16,Wed,12,Surat,Gujarat,Urban Road,Dry,5.1,6,80,65,Heavy Rain,13.3,41,6.2,0.66,Daylight,1,0,Car,5,37,Rear-End Collision,35,Medium,0
IND-2023-0083,2023-10-19,10:13,10,Thu,10,Mumbai,Maharashtra,State Highway,Dry,7.8,4,30,29,Haze,43.5,81,3,0.66,Street Light,0,0,Motorcycle,2,43,Side Collision,20,Low,0
IND-2022-0084,2022-05-28,05:55,5,Sat,5,Chennai,Tamil Nadu,Rural Road,Potholed,6.1,1,40,48,Clear,18.5,35,1.2,0.56,No Light,0,1,Mixed,3,28,Multiple Vehicle,58,High,1
IND-2022-0085,2022-09-12,10:18,10,Mon,9,Pune,Maharashtra,Ring Road,Under Construction,4.4,4,40,48,Dust Storm,27.5,59,5.2,0.55,Partial Light,1,0,Motorcycle,4,1,Rollover,75,Critical,1
IND-2023-0086,2023-11-01,10:48,10,Wed,11,Kolkata,West Bengal,State Highway,Dry,7.3,3,50,59,Fog,24,92,3.8,0.79,Daylight,0,1,Car,5,12,Single Vehicle,65,High,1
IND-2023-0087,2023-10-01,17:08,17,Sun,10,Pune,Maharashtra,National Highway,Slippery,4,2,50,52,Fog,31.1,71,1.6,0.43,Daylight,1,1,Auto Rickshaw,5,2,Single Vehicle,83,Critical,1
IND-2023-0088,2023-09-20,16:16,16,Wed,9,Chennai,Tamil Nadu,Urban Road,Wet,10.6,4,80,101,Clear,20.5,22,7.1,0.58,No Light,1,0,Motorcycle,3,21,Single Vehicle,55,High,1
IND-2023-0089,2023-08-16,20:32,20,Wed,8,Vadodara,Gujarat,Rural Road,Wet,5.5,4,80,97,Rain,18.5,93,8.3,0.44,Daylight,1,1,Motorcycle,6,7,Side Collision,60,High,1
IND-2023-0090,2023-04-28,13:15,13,Fri,4,Kanpur,Uttar Pradesh,Rural Road,Dry,9.2,6,50,69,Drizzle,43.5,78,3.9,0.53,Daylight,1,1,Car,5,21,Rollover,40,Medium,0
IND-2022-0091,2022-11-02,07:18,7,Wed,11,Bangalore,Karnataka,Flyover,Dry,9.5,5,100,99,Clear,42.7,55,5.7,0.53,Daylight,1,1,Car,3,7,Hit and Run,5,Low,0
IND-2022-0092,2022-03-22,17:06,17,Tue,3,Mumbai,Maharashtra,Urban Road,Dry,4,5,80,65,Clear,13.8,95,2.9,0.61,Dawn/Dusk,0,0,Car,2,15,Rear-End Collision,28,Medium,0
IND-2023-0093,2023-04-29,18:59,18,Sat,4,Hyderabad,Telangana,Rural Road,Dry,10.3,1,60,67,Clear,32.8,56,4.9,0.89,Street Light,0,0,Mixed,3,18,Side Collision,35,Medium,0
IND-2023-0094,2023-02-11,15:12,15,Sat,2,Visakhapatnam,Andhra Pradesh,National Highway,Potholed,9.2,4,30,18,Haze,44.4,56,1.3,0.61,No Light,0,1,Truck,4,41,Pedestrian Hit,68,High,1
IND-2022-0095,2022-12-05,18:00,18,Mon,12,Nagpur,Maharashtra,Urban Road,Dry,6.9,4,120,100,Clear,31.4,71,2.1,0.71,Daylight,0,0,Motorcycle,4,32,Side Collision,38,Medium,0
IND-2022-0096,2022-08-30,13:23,13,Tue,8,Bangalore,Karnataka,State Highway,Dry,10.7,6,50,56,Rain,14.1,59,0.8,0.72,Street Light,1,0,Motorcycle,2,25,Pedestrian Hit,55,High,1
IND-2022-0097,2022-08-13,14:53,14,Sat,8,Pune,Maharashtra,Urban Road,Wet,11.4,1,100,103,Dust Storm,33.2,47,5.5,0.52,Partial Light,1,1,Truck,2,43,Head-On Collision,70,High,1
IND-2023-0098,2023-06-02,12:46,12,Fri,6,Kolkata,West Bengal,Urban Road,Dry,8.9,4,100,76,Clear,27.9,27,1.1,0.62,No Light,0,1,Bus,4,8,Pedestrian Hit,43,Medium,0
IND-2022-0099,2022-09-18,02:24,2,Sun,9,Mumbai,Maharashtra,Rural Road,Wet,7.8,2,30,30,Drizzle,44.5,80,9,0.15,Daylight,1,1,Truck,1,18,Multiple Vehicle,45,Medium,0
IND-2023-0100,2023-12-01,06:15,6,Fri,12,Chennai,Tamil Nadu,Expressway,Dry,10.6,5,80,73,Dust Storm,39.2,22,9.8,0.21,No Light,1,1,Car,3,29,Rollover,45,Medium,1
IND-2022-0101,2022-06-08,03:13,3,Wed,6,Hyderabad,Telangana,Ring Road,Potholed,3.9,5,60,65,Clear,18.4,28,8.9,0.94,Daylight,0,0,Auto Rickshaw,1,38,Rear-End Collision,50,High,0
IND-2022-0102,2022-02-27,16:40,16,Sun,2,Lucknow,Uttar Pradesh,Flyover,Dry,5.8,3,80,86,Clear,20.6,38,3.3,0.71,Partial Light,1,0,Motorcycle,6,33,Side Collision,45,Medium,0
IND-2023-0103,2023-07-24,10:35,10,Mon,7,Jaipur,Rajasthan,Flyover,Flooded,12.4,3,50,57,Rain,16.4,88,3.1,0.47,Street Light,0,1,Auto Rickshaw,4,15,Rear-End Collision,65,High,0
IND-2023-0104,2023-02-02,14:55,14,Thu,2,Kolkata,West Bengal,State Highway,Wet,12.7,2,30,30,Clear,23.2,97,0.7,0.85,Partial Light,0,1,Auto Rickshaw,5,2,Rollover,70,High,1
IND-2022-0105,2022-11-07,20:31,20,Mon,11,Coimbatore,Tamil Nadu,National Highway,Flooded,11.6,4,120,117,Dust Storm,17.2,50,6.1,0.32,Partial Light,1,1,Car,5,20,Pedestrian Hit,65,High,1
IND-2023-0106,2023-04-26,09:36,9,Wed,4,Hyderabad,Telangana,State Highway,Dry,6.6,2,120,93,Haze,42.7,94,2.8,0.23,Daylight,1,0,Car,6,26,Multiple Vehicle,38,Medium,0
IND-2023-0107,2023-05-27,12:48,12,Sat,5,Indore,Madhya Pradesh,Ring Road,Dry,9.2,2,100,111,Rain,37.8,41,1.8,0.54,No Light,0,0,Bus,2,46,Head-On Collision,63,High,1
IND-2022-0108,2022-05-21,18:34,18,Sat,5,Mumbai,Maharashtra,State Highway,Potholed,9.1,4,50,32,Drizzle,41.9,82,9.4,0.67,Daylight,0,0,Motorcycle,1,0,Pedestrian Hit,35,Medium,0
IND-2022-0109,2022-01-18,08:43,8,Tue,1,Thiruvananthapuram,Kerala,Rural Road,Dry,7.7,3,30,30,Rain,18.8,65,6.3,0.32,Partial Light,1,1,Car,3,50,Rollover,30,Medium,0
IND-2022-0110,2022-03-24,06:57,6,Thu,3,Indore,Madhya Pradesh,Expressway,Potholed,7,1,80,78,Fog,12.9,75,7.1,0.67,Daylight,0,0,Truck,6,50,Rollover,50,High,0
IND-2023-0111,2023-08-04,09:53,9,Fri,8,Bhopal,Madhya Pradesh,National Highway,Dry,11.4,6,80,90,Rain,10.5,46,8.5,0.26,Partial Light,1,0,Bicycle,5,9,Pedestrian Hit,55,High,1
IND-2023-0112,2023-11-25,07:40,7,Sat,11,Indore,Madhya Pradesh,State Highway,Potholed,9.9,5,100,66,Heavy Rain,13.4,49,3.6,0.77,Daylight,1,1,Mixed,1,21,Rear-End Collision,50,High,1
IND-2023-0113,2023-04-07,21:19,21,Fri,4,Bangalore,Karnataka,Urban Road,Flooded,5.1,6,100,90,Rain,18.6,29,3.1,0.79,Dawn/Dusk,0,1,Motorcycle,1,17,Hit and Run,60,High,1
IND-2022-0114,2022-10-04,19:43,19,Tue,10,Hyderabad,Telangana,National Highway,Dry,6.6,4,30,18,Clear,30.9,61,1.1,0.42,Street Light,0,0,Motorcycle,4,0,Side Collision,28,Medium,0
IND-2022-0115,2022-05-23,16:53,16,Mon,5,Chennai,Tamil Nadu,State Highway,Dry,10,4,50,49,Clear,18.6,100,2.7,0.17,Daylight,0,0,Truck,4,38,Pedestrian Hit,23,Low,0
IND-2022-0116,2022-12-04,20:24,20,Sun,12,Ahmedabad,Gujarat,Urban Road,Under Construction,11.2,6,50,42,Rain,21,70,2.2,0.95,Street Light,1,0,Motorcycle,3,18,Hit and Run,48,Medium,0
IND-2023-0117,2023-02-07,19:45,19,Tue,2,Bangalore,Karnataka,Ring Road,Dry,4.2,4,120,124,Clear,34.8,76,4.7,0.96,Partial Light,1,0,Car,3,44,Pedestrian Hit,40,Medium,0
IND-2023-0118,2023-01-22,08:41,8,Sun,1,Hyderabad,Telangana,Flyover,Wet,13.1,1,120,138,Clear,22.6,88,7.9,0.59,Dawn/Dusk,0,1,Motorcycle,5,40,Side Collision,65,High,1
IND-2023-0119,2023-07-31,20:32,20,Mon,7,Pune,Maharashtra,Rural Road,Dry,9.5,4,60,41,Dust Storm,36.1,91,2.4,0.19,No Light,1,1,Mixed,5,44,Single Vehicle,63,High,1
IND-2022-0120,2022-01-26,14:19,14,Wed,1,Delhi,Delhi,State Highway,Flooded,4.5,6,100,71,Rain,17.2,81,4.7,0.38,Daylight,1,1,Auto Rickshaw,3,30,Head-On Collision,35,Medium,0
IND-2023-0121,2023-12-29,19:28,19,Fri,12,Mumbai,Maharashtra,Expressway,Wet,10.1,2,100,79,Clear,29.6,79,1.8,0.26,Street Light,1,1,Car,2,25,Rear-End Collision,33,Medium,0
